4.001497572115999901e+01,-8.302925583718999292e+01,3.845999999999999974e-01,-1.552999999999999936e-01,2.337477718959999826e-02,1.802455592068380019e+00,-1.487314067133800044e-01,6.688117380000000445e-01,1.324305572000000097e+00,3.384710565679999945e+02,2.024000000000000000e+03,1.200000000000000000e+01,3.000000000000000000e+00,1.800000000000000000e+01,4.500000000000000000e+01,2.038081700000000041e+01
4.001497575661999662e+01,-8.302925585561000332e+01,3.927999999999999825e-01,-1.584000000000000130e-01,5.305845602865999489e-02,1.882092135855360171e+00,-2.014156257606999900e-01,6.688386769999999926e-01,1.329767841000000006e+00,3.384698525329999939e+02,2.024000000000000000e+03,1.200000000000000000e+01,3.000000000000000000e+00,1.800000000000000000e+01,4.500000000000000000e+01,2.043493700000000146e+01
4.001497594583999984e+01,-8.302925595346999899e+01,4.391999999999999793e-01,-1.751000000000000056e-01,6.536687972568000493e-02,1.981323582022220142e+00,-2.052142938382000015e-01,6.703211690000000500e-01,1.366160167999999953e+00,3.384646098850000158e+02,2.024000000000000000e+03,1.200000000000000000e+01,3.000000000000000000e+00,1.800000000000000000e+01,4.500000000000000000e+01,2.048896500000000032e+01
4.001497615779000228e+01,-8.302925606274999382e+01,4.935999999999999832e-01,-1.970999999999999974e-01,7.346077040439999775e-03,2.338304896994559900e+00,-1.633680004152200105e-01,6.756927990000000106e-01,1.410300362000000085e+00,3.384597805610000023e+02,2.024000000000000000e+03,1.200000000000000000e+01,3.000000000000000000e+00,1.800000000000000000e+01,4.500000000000000000e+01,2.054326000000000008e+01
4.001497644797999698e+01,-8.302925621174999549e+01,5.716999999999999860e-01,-2.273999999999999910e-01,-2.033533975639999908e-02,2.802356119674779933e+00,-1.405753698762199910e-01,6.802073440000000470e-01,1.472529441999999911e+00,3.384511695319999944e+02,2.024000000000000000e+03,1.200000000000000000e+01,3.000000000000000000e+00,1.800000000000000000e+01,4.500000000000000000e+01,2.059676599999999880e+01
4.001497672451999676e+01,-8.302925635363999390e+01,6.472999999999999865e-01,-2.565999999999999948e-01,1.692883649939999971e-02,3.210020479253020032e+00,-4.998818949629999647e-02,6.846710639999999959e-01,1.531569444999999918e+00,3.384449767479999878e+02,2.024000000000000000e+03,1.200000000000000000e+01,3.000000000000000000e+00,1.800000000000000000e+01,4.500000000000000000e+01,2.065015899999999860e+01
4.001497703737999956e+01,-8.302925651289000086e+01,7.326000000000000290e-01,-2.873999999999999888e-01,5.289181762192000230e-02,3.601931859050760298e+00,3.773263320572000507e-02,6.966775269999999631e-01,1.594083281999999935e+00,3.384387678879999726e+02,2.024000000000000000e+03,1.200000000000000000e+01,3.000000000000000000e+00,1.800000000000000000e+01,4.500000000000000000e+01,2.070312500000000000e+01
4.001497746473999939e+01,-8.302925672697999460e+01,8.401999999999999469e-01,-3.227999999999999758e-01,1.517169740893200003e-01,3.771498723496560235e+00,2.409562666684200161e-01,7.191835749999999639e-01,1.656339985000000015e+00,3.384228410470000199e+02,2.024000000000000000e+03,1.200000000000000000e+01,3.000000000000000000e+00,1.800000000000000000e+01,4.500000000000000000e+01,2.075651099999999971e+01
4.001497786480999963e+01,-8.302925692710999783e+01,9.294999999999999929e-01,-3.589999999999999858e-01,3.982035447920000658e-03,3.873201177586880206e+00,6.299658772595999601e-01,7.370640269999999550e-01,1.680073550999999998e+00,3.384046181140000158e+02,2.024000000000000000e+03,1.200000000000000000e+01,3.000000000000000000e+00,1.800000000000000000e+01,4.500000000000000000e+01,2.080979699999999966e+01
4.001497830544000323e+01,-8.302925714631000176e+01,1.018499999999999961e+00,-3.906999999999999917e-01,5.401672342213999917e-02,3.761224602034240139e+00,6.761511659451400202e-01,7.622469640000000268e-01,1.669308215999999900e+00,3.383929342150000252e+02,2.024000000000000000e+03,1.200000000000000000e+01,3.000000000000000000e+00,1.800000000000000000e+01,4.500000000000000000e+01,2.086372799999999827e+01
4.001497878363999661e+01,-8.302925738652000121e+01,1.097699999999999898e+00,-4.289999999999999925e-01,-2.811873208724000039e-01,3.514673693800739684e+00,5.962182044986200635e-01,7.904165920000000289e-01,1.629458765999999947e+00,3.383942382729999849e+02,2.024000000000000000e+03,1.200000000000000000e+01,3.000000000000000000e+00,1.800000000000000000e+01,4.500000000000000000e+01,2.091765699999999839e+01
4.001497929570999901e+01,-8.302925764827000421e+01,1.169399999999999995e+00,-4.636000000000000121e-01,-2.115503629506799987e-01,3.175925586598479899e+00,2.640368361351400073e-01,8.078174310000000302e-01,1.580600133999999990e+00,3.383997282330000189e+02,2.024000000000000000e+03,1.200000000000000000e+01,3.000000000000000000e+00,1.800000000000000000e+01,4.500000000000000000e+01,2.097241599999999906e+01
4.001497940163999800e+01,-8.302925770295999541e+01,1.182399999999999896e+00,-4.707000000000000073e-01,-2.415334563809599933e-01,3.101752202656719692e+00,1.953430811943999701e-01,8.108337230000000062e-01,1.570660049000000003e+00,3.384008172430000059e+02,2.024000000000000000e+03,1.200000000000000000e+01,3.000000000000000000e+00,1.800000000000000000e+01,4.500000000000000000e+01,2.102571700000000021e+01
4.001498017491999803e+01,-8.302925810559999320e+01,1.262899999999999912e+00,-5.111999999999999877e-01,-2.378345490404999985e-01,2.531364538423759747e+00,-1.156362576408000026e-01,8.214976779999999534e-01,1.514663553000000107e+00,3.384026699720000124e+02,2.024000000000000000e+03,1.200000000000000000e+01,3.000000000000000000e+00,1.800000000000000000e+01,4.500000000000000000e+01,2.107863700000000051e+01
4.001498124218999664e+01,-8.302925867525000569e+01,1.359299999999999953e+00,-5.689999999999999503e-01,-4.202983116470999647e-01,2.453642894315960277e+00,-5.971424302886599866e-01,7.950875960000000076e-01,1.481504847000000069e+00,3.383874607629999787e+02,2.024000000000000000e+03,1.200000000000000000e+01,3.000000000000000000e+00,1.800000000000000000e+01,4.500000000000000000e+01,2.113248099999999852e+01
4.001498199772999698e+01,-8.302925908682000511e+01,1.423000000000000043e+00,-5.995000000000000329e-01,-9.812680341014000385e-02,2.276953343417139841e+00,-7.639178401481799829e-01,7.542324550000000238e-01,1.486757316999999912e+00,3.383740390759999741e+02,2.024000000000000000e+03,1.200000000000000000e+01,3.000000000000000000e+00,1.800000000000000000e+01,4.500000000000000000e+01,2.118605799999999917e+01
4.001498265346000238e+01,-8.302925944391999735e+01,1.476599999999999913e+00,-6.201999999999999735e-01,-3.056644645351999992e-02,2.310195508180480140e+00,-5.660071688637600129e-01,7.281831899999999802e-01,1.519353855999999947e+00,3.383621908630000235e+02,2.024000000000000000e+03,1.200000000000000000e+01,3.000000000000000000e+00,1.800000000000000000e+01,4.500000000000000000e+01,2.124033299999999969e+01
